Albert Einstein | No podemos resolver nuestros problemas con el mismo razonamiento que usamos cuando los creamos.
Mahatma Gandhi | Vive como si fueras a morir mañana; aprende como si fueras a vivir siempre.
Mark Twain | Aléjate de la gente que trata de empequeñecer tus ambiciones. La gente pequeña siempre hace eso, pero la gente realmente grande, te hace sentir que tú también puedes ser grande.
Eleanor Roosevelt | Cuando haces feliz a otras personas, recibes más felicidad a cambio. Deberías meditar bien sobre cuánta felicidad eres capaz de dar.
Norman Vincent Peale | Cambia tus pensamientos y cambiarás tu mundo.
Walter Anderson | Solo al arriesgarnos podemos hacer que nuestras vidas mejoren. El principal riesgo y el más difícil de asumir es ser honestos.
Diane McLaren | La naturaleza nos ha dado las piezas necesarias para alcanzar una riqueza y un bienestar excepcionales, pero nos ha dejado la tarea de juntarlas.
Winston Churchill | El éxito no es definitivo; el fracaso no es fatal. Lo que realmente cuenta es tener valor para continuar.
Herman Melville | Es mejor fallar en la originalidad que triunfar en la imitación.
Colin R. Davis | El camino hacia el éxito y el camino hacia el fracaso son prácticamente el mismo.
Henry David Thoreau | El éxito suele llegar a quienes están demasiado ocupados para buscarlo.
Dale Carnegie | Desarrolla el éxito a partir de los fracasos. El desaliento y el fracaso son los peldaños hacia el éxito.
Calvin Coolidge | Nada en este mundo puede tomar el lugar de la persistencia. El talento no lo hará; nada es más común que los hombres sin éxito y con talento. El genio no lo hará; que los genios no son recompensados es casi proverbial. La educación tampoco: el mundo está lleno de negligentes educados. El lema ‘Sigue adelante’ ha resuelto y resolverá siempre los problemas de la raza humana.
Mister Rogers | Hay tres caminos hacia el éxito definitivo. El primero es ser amable. El segundo es ser amable. El tercero es ser amable.
John Wooden | El éxito es la paz interior que resulta directamente de la autosatisfacción de saber que has hecho el esfuerzo de convertirte en lo mejor que eras capaz de ser.
Estée Lauder | Nunca he soñado con el éxito. He trabajado por él.
W. P. Kinsella | El éxito es obtener lo que quieres; la felicidad es querer lo que obtienes.
Winston Churchill | El pesimista ve la dificultad en cada oportunidad. El optimista ve la oportunidad en cada dificultad.
Will Rogers | No dejes que el ayer ocupe mucho espacio de tu hoy.
Anónimo | Se aprende más de los fracasos que de los éxitos. No dejes que esto te detenga. El fracaso te hace más fuerte.
Steve Jobs | Si trabajas en algo que te gusta y te apasiona, no necesitas un empujón. Tu visión será tu impulso.
Vernon Sanders Law | La experiencia es una maestra dura porque primero te hace el examen y luego te da la lección.
Dorothy West | Saber cuánto puedes llegar a saber es el primer paso para aprender a vivir.
Tony Robbins | Fijarse metas es el secreto para un futuro grandioso.
Alexander Graham Bell | Concentra todos tus pensamientos sobre el trabajo en una mano. Los rayos del sol no queman hasta que hacen foco.
Jim Rohn | O corres durante el día o el día corre por ti.
Thomas Jefferson | Creo profundamente en la suerte: cuanto más duro trabajo, más suerte tengo.
Paulo Coelho | Cuando nos esforzamos en ser mejores de lo que somos, todo a nuestro alrededor mejora también.
Thomas Edison | La mayoría de la gente pierde la oportunidad porque esta va vestida con un mono y parece trabajo.
Tony Robbins | Fijarse metas es el primer paso para transformar lo invisible en visible.
Steve Jobs | Tu trabajo va a suponer gran parte de tu vida, y la única forma de estar plenamente satisfecho es creer que se trata de un gran trabajo. El único modo de hacer un gran trabajo es amar lo que haces. Si aún no lo has encontrado, sigue buscando. No te conformes. Como sucede con todos los asuntos del corazón, cuando lo hayas encontrado te darás cuenta.
Confucio | El que se conquista a sí mismo es el guerrero más poderoso.
